subject,predicate,object,category,description
rule-light-1,task-type,configure-lighting,lighting-rule,High budget + reactive = Mesh-WiFi Motion Sensors
rule-light-1,slot-prefix,lighting-params,lighting-rule,
rule-light-1,rule-name,Advanced AI Motion Lighting,lighting-rule,
rule-light-1,metric,budget,lighting-rule,
rule-light-1,comparator,==,lighting-rule,
rule-light-1,threshold,high,lighting-rule,
rule-light-1,also-require-metric,automation-level,lighting-rule,
rule-light-1,also-require-comparator,==,lighting-rule,
rule-light-1,also-require-threshold,reactive,lighting-rule,
rule-light-1,recommended-method,mesh-wifi-motion-sensor-bulbs,lighting-rule,
rule-light-1,confidence,high,lighting-rule,
rule-light-1,rationale,"Since you have a high budget and want reactive automation, Mesh-WiFi Motion Sensor Bulbs offer the most reliable presence-based triggers.",lighting-rule,
rule-light-2,task-type,configure-lighting,lighting-rule,Low budget + scheduled = Basic Smart Plugs
rule-light-2,slot-prefix,lighting-params,lighting-rule,
rule-light-2,rule-name,Basic Scheduled Plugs,lighting-rule,
rule-light-2,metric,budget,lighting-rule,
rule-light-2,comparator,==,lighting-rule,
rule-light-2,threshold,low,lighting-rule,
rule-light-2,also-require-metric,automation-level,lighting-rule,
rule-light-2,also-require-comparator,==,lighting-rule,
rule-light-2,also-require-threshold,scheduled,lighting-rule,
rule-light-2,recommended-method,wifi-smart-plugs,lighting-rule,
rule-light-2,confidence,high,lighting-rule,
rule-light-2,rationale,"For a low budget with scheduled needs, simple WiFi Smart Plugs connected to your existing lamps are the most cost-effective solution.",lighting-rule,
rule-light-3,task-type,configure-lighting,lighting-rule,Medium budget + reactive = Bluetooth Motion Bulbs
rule-light-3,slot-prefix,lighting-params,lighting-rule,
rule-light-3,rule-name,Budget Presence Lighting,lighting-rule,
rule-light-3,metric,budget,lighting-rule,
rule-light-3,comparator,==,lighting-rule,
rule-light-3,threshold,medium,lighting-rule,
rule-light-3,also-require-metric,automation-level,lighting-rule,
rule-light-3,also-require-comparator,==,lighting-rule,
rule-light-3,also-require-threshold,reactive,lighting-rule,
rule-light-3,recommended-method,bluetooth-motion-bulbs,lighting-rule,
rule-light-3,confidence,medium,lighting-rule,
rule-light-3,rationale,"Bluetooth motion bulbs balance cost with presence detection capabilities.",lighting-rule,
rule-light-4,task-type,configure-lighting,lighting-rule,Fallback lighting
rule-light-4,slot-prefix,lighting-params,lighting-rule,
rule-light-4,rule-name,Standard Smart Bulbs,lighting-rule,
rule-light-4,metric,budget,lighting-rule,
rule-light-4,comparator,!=,lighting-rule,
rule-light-4,threshold,unknown,lighting-rule,
rule-light-4,also-require-metric,automation-level,lighting-rule,
rule-light-4,also-require-comparator,==,lighting-rule,
rule-light-4,also-require-threshold,manual,lighting-rule,
rule-light-4,recommended-method,standard-wifi-bulbs,lighting-rule,
rule-light-4,confidence,low,lighting-rule,
rule-light-4,rationale,"For manual control, standard WiFi smart bulbs hooked up to a hub are a great starting point.",lighting-rule,
rule-light-5,task-type,configure-lighting,lighting-rule,Low budget + reactive = Motion Sensor Bulbs
